CID,IUPACName,IsomericSMILES,MolecularFormula,MolecularWeight,Synonyms,HBondDonorCount,HBondAcceptorCount
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907623","14,21-bis[3-(dimethylamino)propyl]-17-[3-(dimethylamino)propylamino]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaene-13,15,20,22-tetrone","CN(C)CCCNC1=C2C3=C4C(=C1)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCN(C)C)NC6=CC=CC=C6N5)CCCN(C)C","C35H44N8O4","640.8","['bis[3-(dimethylamino)propyl]-[3-(dimethylamino)propylamino][?]tetrone']","3","10"
"129907625","trimethyl-[3-[13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16(24),17,19(23)-octaen-14-yl]propyl]azanium","C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C","C32H38N6O4+2","570.7","[]","2","6"
"129907625","trimethyl-[3-[13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16(24),17,19(23)-octaen-14-yl]propyl]azanium","C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C","C32H38N6O4+2","570.7","[]","2","6"
"129907625","trimethyl-[3-[13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16(24),17,19(23)-octaen-14-yl]propyl]azanium","C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C","C32H38N6O4+2","570.7","[]","2","6"
"129907625","trimethyl-[3-[13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16(24),17,19(23)-octaen-14-yl]propyl]azanium","C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C","C32H38N6O4+2","570.7","[]","2","6"
"129907625","trimethyl-[3-[13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16(24),17,19(23)-octaen-14-yl]propyl]azanium","C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C","C32H38N6O4+2","570.7","[]","2","6"
"129907625","trimethyl-[3-[13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16(24),17,19(23)-octaen-14-yl]propyl]azanium","C[N+](C)(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=CC=CC=C6N5)CCC[N+](C)(C)C","C32H38N6O4+2","570.7","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"129907303","3-[17-bromo-13,15,20,22-tetraoxo-21-[3-(trimethylazaniumyl)propyl]-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4,6,8,11,16,18,23-octaen-14-yl]propyl-trimethylazanium","C[N+](C)(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCC[N+](C)(C)C)NC6=CC=CC=C6N5)C1=O)Br","C32H37BrN6O4+2","649.6","[]","2","6"
"90466365","4-(2-aminoethoxy)-2-N,6-N-bis[4-[2-(dimethylamino)ethoxy]quinolin-2-yl]pyridine-2,6-dicarboxamide","CN(C)CCOC1=CC(=NC2=CC=CC=C21)NC(=O)C3=CC(=CC(=N3)C(=O)NC4=NC5=CC=CC=C5C(=C4)OCCN(C)C)OCCN","C35H40N8O5","652.7","['CHEMBL3787049']","3","11"
